year,passengers,month_num
1949,112.0,1
1949,132.0,3
1949,129.0,4
1949,121.0,5
1949,135.0,6
1949,148.0,7
1949,148.0,8
1949,136.0,9
1949,119.0,10
1949,104.0,11
1949,118.0,12
1950,115.0,1
1950,126.0,2
1950,135.0,4
1950,125.0,5
1950,149.0,6
1950,170.0,7
1950,170.0,8
1950,114.0,11
1950,140.0,12
1951,145.0,1
1951,150.0,2
1951,178.0,3
1951,163.0,4
1951,172.0,5
1951,199.0,7
1951,199.0,8
1951,162.0,10
1951,146.0,11
1951,166.0,12
1952,171.0,1
1952,193.0,3
1952,181.0,4
1952,183.0,5
1952,230.0,7
1952,242.0,8
1952,209.0,9
1952,191.0,10
1952,194.0,12
1953,196.0,2
1953,235.0,4
1953,243.0,6
1953,264.0,7
1953,272.0,8
1953,272.0,9
1954,204.0,1
1954,235.0,3
1954,234.0,5
1954,264.0,6
1954,302.0,7
1954,293.0,8
1954,259.0,9
1954,229.0,10
1954,203.0,11
1955,242.0,1
1955,233.0,2
1955,270.0,5
1955,315.0,6
1955,364.0,7
1955,312.0,9
1955,274.0,10
1955,274.0,11
1955,278.0,12
1956,284.0,1
1956,277.0,2
1956,317.0,3
1956,374.0,6
1956,306.0,10
1956,271.0,11
1956,306.0,12
1957,315.0,1
1957,315.0,2
1957,356.0,3
1957,355.0,5
1957,422.0,6
1958,340.0,1
1958,318.0,2
1958,362.0,3
1958,348.0,4
1958,363.0,5
1958,435.0,6
1958,491.0,7
1958,505.0,8
1958,404.0,10
1958,310.0,11
1958,337.0,12
1959,360.0,1
1959,406.0,3
1959,396.0,4
1959,420.0,5
1959,472.0,6
1959,559.0,8
1959,407.0,10
1959,405.0,12
1960,417.0,1
1960,391.0,2
1960,461.0,4
1960,535.0,6
1960,606.0,8
1960,508.0,9
1960,390.0,11
